customer_id,customer_name,gender,age,city,state,customer_segment,acquisition_date
CUST00159,Kunal Saxena,Male,45,Bhopal,Madhya Pradesh,Consumer,2024-01-01
CUST00161,Aarav Singh,Male,41,Guwahati,Assam,Consumer,2023-10-23
CUST00166,Rahul Patel,Male,38,Coimbatore,Tamil Nadu,Consumer,2022-12-13
CUST00171,Riya Yadav,Female,18,Jaipur,Rajasthan,Consumer,2023-11-11
CUST00176,Amit Yadav,Male,36,Indore,Madhya Pradesh,Consumer,2023-11-15
CUST00179,Rohan Verma,Female,27,Bhubaneswar,Odisha,Consumer,2025-03-29
CUST00181,Priya Singh,Female,32,Patna,Bihar,Consumer,2022-01-21
CUST00191,Kunal Mishra,Male,21,Hyderabad,Telangana,Consumer,2022-03-31
CUST00192,Vivaan Kumar,Male,18,Bengaluru,Karnataka,Consumer,2023-01-04
CUST00193,Aditi Kumar,Male,55,Bengaluru,Karnataka,Consumer,2025-01-25
CUST00194,Neha Sharma,Female,31,Pune,Maharashtra,Consumer,2023-05-18
CUST00196,Nikhil Sharma,Female,22,Delhi,Delhi,Small Business,2022-05-18
CUST00201,Kunal Joshi,Female,31,Ahmedabad,Gujarat,Consumer,2024-01-07
CUST00207,Isha Kumar,Male,32,Kochi,Kerala,Small Business,2022-12-10
CUST00212,Sneha Jain,Male,41,Hyderabad,Telangana,Consumer,2024-01-23
CUST00215,Sneha Joshi,Male,35,Kochi,Kerala,Consumer,2022-05-09
CUST00220,Kunal Patel,Male,46,Bhubaneswar,Odisha,Consumer,2024-03-07
CUST00227,Kavya Singh,Male,24,Coimbatore,Tamil Nadu,Consumer,2023-01-22
CUST00230,Kavya Joshi,Female,29,Chandigarh,Chandigarh,Corporate,2023-06-06
CUST00233,Amit Singh,Male,62,Lucknow,Uttar Pradesh,Consumer,2024-02-02
CUST00235,Neha Mishra,Female,29,Indore,Madhya Pradesh,Consumer,2023-09-04
CUST00244,Riya Gupta,Female,27,Chennai,Tamil Nadu,Consumer,2023-03-15
CUST00247,Riya Sharma,Male,41,Kochi,Kerala,Consumer,2022-02-17
CUST00255,Isha Joshi,Female,18,Chennai,Tamil Nadu,Consumer,2022-10-09
CUST00261,Isha Kumar,Male,34,Coimbatore,Tamil Nadu,Consumer,2023-05-07
CUST00265,Riya Kumar,Male,19,Guwahati,Assam,Consumer,2023-10-24
CUST00269,Vikram Kumar,Male,40,Bengaluru,Karnataka,Consumer,2023-10-31
CUST00276,Aarav Shah,Female,41,Indore,Madhya Pradesh,Small Business,2025-01-19
CUST00278,Rahul Patel,Male,28,Coimbatore,Tamil Nadu,Corporate,2024-08-04
CUST00280,Ananya Malhotra,Female,32,Delhi,Delhi,Small Business,2022-05-18
CUST00283,Rahul Verma,Female,32,Chennai,Tamil Nadu,Corporate,2024-05-14
CUST00290,Priya Shah,Female,39,Indore,Madhya Pradesh,Small Business,2023-09-14
CUST00292,Sneha Sharma,Male,39,Dehradun,Uttarakhand,Corporate,2024-03-12
CUST00295,Priya Agarwal,Male,18,Bhopal,Madhya Pradesh,Consumer,2025-01-13
CUST00298,Priya Agarwal,Male,35,Surat,Gujarat,Consumer,2022-06-22
CUST00303,Vikram Malhotra,Female,22,Lucknow,Uttar Pradesh,Consumer,2022-03-28
CUST00306,Priya Jain,Female,18,Chandigarh,Chandigarh,Small Business,2022-03-11
CUST00312,Isha Saxena,Female,31,Chennai,Tamil Nadu,Corporate,2024-01-21
CUST00314,Vikram Gupta,Other,54,Mumbai,Maharashtra,Consumer,2024-09-21
CUST00317,Neha Mehta,Female,18,Kochi,Kerala,Consumer,2024-11-05
CUST00318,Neha Patel,Female,40,Hyderabad,Telangana,Corporate,2023-09-05
CUST00324,Arjun Chauhan,Other,20,Patna,Bihar,Consumer,2024-12-26
CUST00334,Pooja Agarwal,Male,33,Kolkata,West Bengal,Consumer,2023-11-12
CUST00337,Priya Patel,Female,33,Guwahati,Assam,Consumer,2024-07-18
CUST00345,Priya Jain,Male,39,Bhubaneswar,Odisha,Consumer,2023-08-28
CUST00349,Neha Yadav,Male,41,Chandigarh,Chandigarh,Corporate,2022-11-11
CUST00352,Riya Singh,Male,27,Lucknow,Uttar Pradesh,Corporate,2023-06-06
CUST00354,Riya Srivastava,Female,43,Surat,Gujarat,Consumer,2022-10-10
CUST00355,Priya Gupta,Male,19,Guwahati,Assam,Small Business,2024-09-03
CUST00361,Sneha Verma,Male,37,Kolkata,West Bengal,Consumer,2024-09-11
CUST00362,Rohan Saxena,Male,47,Bhubaneswar,Odisha,Small Business,2023-06-17
CUST00363,Rahul Kumar,Female,48,Ludhiana,Punjab,Corporate,2024-03-10
CUST00366,Nikhil Singh,Male,18,Bhopal,Madhya Pradesh,Consumer,2022-03-16
CUST00367,Meera Agarwal,Female,36,Indore,Madhya Pradesh,Consumer,2022-11-13
CUST00371,Pooja Shah,Male,23,Pune,Maharashtra,Small Business,2023-12-29
CUST00373,Sneha Mehta,Other,18,Surat,Gujarat,Small Business,2024-12-20
CUST00375,Aarav Shah,Male,42,Bhubaneswar,Odisha,Small Business,2025-03-31
CUST00380,Amit Yadav,Female,37,Dehradun,Uttarakhand,Small Business,2025-01-14
CUST00388,Amit Yadav,Female,52,Kolkata,West Bengal,Small Business,2022-01-05
CUST00394,Arjun Malhotra,Female,38,Bengaluru,Karnataka,Consumer,2022-06-27
CUST00395,Aditya Malhotra,Female,27,Hyderabad,Telangana,Consumer,2024-07-17
CUST00397,Amit Malhotra,Female,47,Lucknow,Uttar Pradesh,Consumer,2022-01-10
CUST00405,Kavya Gupta,Other,40,Indore,Madhya Pradesh,Consumer,2025-03-24
CUST00407,Pooja Agarwal,Female,39,Surat,Gujarat,Small Business,2022-09-16
CUST00408,Ananya Kapoor,Female,38,Chandigarh,Chandigarh,Consumer,2022-09-12
CUST00413,Vivaan Mishra,Male,50,Mumbai,Maharashtra,Small Business,2022-02-16
CUST00419,Kunal Mehta,Female,28,Mumbai,Maharashtra,Consumer,2024-03-27
CUST00425,Nikhil Sharma,Female,54,Surat,Gujarat,Corporate,2023-03-15
CUST00428,Arjun Srivastava,Male,28,Coimbatore,Tamil Nadu,Small Business,2024-05-31
CUST00439,Kunal Malhotra,Female,60,Delhi,Delhi,Consumer,2024-07-19
CUST00442,Aarav Patel,Female,31,Mumbai,Maharashtra,Corporate,2023-09-09
CUST00445,Arjun Mishra,Female,20,Bhopal,Madhya Pradesh,Consumer,2023-11-16
CUST00446,Ananya Joshi,Male,29,Chennai,Tamil Nadu,Consumer,2023-11-02
CUST00447,Riya Patel,Male,37,Mumbai,Maharashtra,Consumer,2022-06-06
CUST00450,Kunal Shah,Male,53,Mumbai,Maharashtra,Consumer,2022-05-13
CUST00454,Riya Saxena,Female,20,Lucknow,Uttar Pradesh,Consumer,2022-04-10
CUST00461,Vivaan Kapoor,Female,42,Hyderabad,Telangana,Corporate,2023-07-09
CUST00464,Priya Agarwal,Female,39,Surat,Gujarat,Consumer,2024-09-24
CUST00474,Rahul Mishra,Female,44,Indore,Madhya Pradesh,Consumer,2024-05-15
CUST00483,Rohan Srivastava,Female,40,Dehradun,Uttarakhand,Corporate,2024-09-29
CUST00485,Rahul Joshi,Female,27,Indore,Madhya Pradesh,Consumer,2022-05-06
CUST00487,Aarav Shah,Female,41,Pune,Maharashtra,Consumer,2023-12-08
CUST00488,Aditya Shah,Male,38,Bhopal,Madhya Pradesh,Small Business,2024-11-20
CUST00517,Vikram Malhotra,Female,29,Bhubaneswar,Odisha,Consumer,2022-02-07
CUST00519,Sneha Sharma,Female,52,Indore,Madhya Pradesh,Corporate,2023-09-30
CUST00524,Pooja Kapoor,Male,25,Kolkata,West Bengal,Small Business,2024-10-28
CUST00525,Nikhil Kumar,Male,36,Pune,Maharashtra,Consumer,2024-02-24
CUST00529,Neha Agarwal,Female,39,Patna,Bihar,Consumer,2022-04-27
CUST00530,Aarav Srivastava,Female,28,Patna,Bihar,Corporate,2022-09-28
CUST00537,Aarav Kapoor,Female,36,Indore,Madhya Pradesh,Small Business,2024-09-19
CUST00541,Nikhil Yadav,Male,41,Hyderabad,Telangana,Consumer,2023-05-25
CUST00545,Vivaan Yadav,Male,40,Kolkata,West Bengal,Corporate,2022-12-18
CUST00552,Pooja Jain,Female,22,Ahmedabad,Gujarat,Corporate,2024-03-28
CUST00555,Aditi Yadav,Other,41,Guwahati,Assam,Consumer,2023-01-17
CUST00558,Aditya Saxena,Male,37,Bhubaneswar,Odisha,Consumer,2024-09-04
CUST00559,Neha Gupta,Female,39,Coimbatore,Tamil Nadu,Small Business,2023-02-23
CUST00562,Pooja Mehta,Female,25,Lucknow,Uttar Pradesh,Corporate,2024-10-30
CUST00565,Aarav Mehta,Male,39,Bhubaneswar,Odisha,Consumer,2022-05-07
CUST00567,Rohan Kapoor,Female,38,Dehradun,Uttarakhand,Small Business,2022-07-20
CUST00579,Meera Kumar,Male,39,Bhubaneswar,Odisha,Small Business,2023-05-27
CUST00587,Pooja Saxena,Female,45,Hyderabad,Telangana,Consumer,2022-07-22
CUST00593,Meera Kapoor,Male,47,Dehradun,Uttarakhand,Consumer,2024-05-16
CUST00596,Ananya Mehta,Male,50,Coimbatore,Tamil Nadu,Small Business,2023-01-30
CUST00597,Isha Patel,Female,28,Nagpur,,Corporate,2022-04-12
CUST00603,Rahul Agarwal,Female,28,Kochi,Kerala,Corporate,2022-06-09
CUST00610,Kavya Saxena,Female,22,Kolkata,West Bengal,Corporate,2022-10-13
CUST00613,Aarav Joshi,Female,44,Coimbatore,Tamil Nadu,Corporate,2024-06-27
CUST00622,Rahul Malhotra,Female,22,Indore,Madhya Pradesh,Consumer,2022-12-25
CUST00625,Priya Saxena,Male,47,Bengaluru,Karnataka,Consumer,2022-12-26
CUST00627,Pooja Shah,Male,30,Pune,Maharashtra,Corporate,2022-06-11
CUST00630,Neha Kapoor,Female,18,Ahmedabad,Gujarat,Consumer,2022-01-25
CUST00635,Kavya Mishra,Male,34,Ludhiana,Punjab,Small Business,2023-11-02
CUST00644,Ananya Shah,Male,48,Indore,Madhya Pradesh,Corporate,2022-09-19
CUST00645,Riya Sharma,Male,61,Kochi,Kerala,Consumer,2024-10-31
CUST00648,Neha Kumar,Male,41,Bhopal,Madhya Pradesh,Corporate,2024-05-26
CUST00649,Pooja Agarwal,Female,56,Guwahati,Assam,Consumer,2024-04-16
CUST00655,Riya Mishra,Female,42,Nagpur,Maharashtra,Consumer,2022-10-15
CUST00659,Aarav Jain,Female,25,Delhi,Delhi,Small Business,2023-02-08
CUST00662,Arjun Joshi,Male,27,Kochi,Kerala,Consumer,2024-08-31
CUST00666,Neha Shah,Female,52,Hyderabad,Telangana,Corporate,2022-04-27
CUST00674,Riya Patel,Female,46,Jaipur,Rajasthan,Consumer,2023-01-16
CUST00675,Pooja Gupta,Female,46,Bengaluru,Karnataka,Consumer,2023-12-31
CUST00692,Priya Mehta,Male,33,Coimbatore,Tamil Nadu,Consumer,2024-10-01
CUST00695,Kunal Gupta,Male,28,Delhi,Delhi,Consumer,2023-04-15
CUST00697,Amit Singh,Male,53,Hyderabad,Telangana,Consumer,2022-04-21
CUST00699,Aditi Saxena,Female,43,Delhi,Delhi,Consumer,2022-10-08
CUST00702,Meera Jain,Male,57,Bengaluru,Karnataka,Small Business,2024-08-13
CUST00704,Vikram Srivastava,Male,39,Chandigarh,Chandigarh,Corporate,2022-07-11
CUST00711,Aarav Mehta,Male,37,Chennai,Tamil Nadu,Consumer,2025-01-19
CUST00713,Aarav Patel,Male,30,Kochi,Kerala,Consumer,2024-04-12
CUST00718,Meera Mishra,Female,55,Indore,Madhya Pradesh,Corporate,2024-07-19
CUST00719,Pooja Saxena,Female,50,Dehradun,Uttarakhand,Small Business,2024-04-04
CUST00730,Priya Joshi,Male,35,Chennai,Tamil Nadu,Small Business,2023-10-08
CUST00733,Aditi Mehta,Other,59,Patna,Bihar,Corporate,2024-02-28
CUST00737,Rohan Verma,Female,18,Kochi,Kerala,Corporate,2024-06-04
CUST00738,Ananya Gupta,Female,41,Pune,Maharashtra,Consumer,2023-01-07
CUST00746,Amit Shah,Female,33,Ahmedabad,Gujarat,Consumer,2024-12-22
CUST00748,Meera Jain,Female,44,Mumbai,Maharashtra,Consumer,2024-06-10
CUST00750,Amit Kapoor,Female,51,Chandigarh,Chandigarh,Corporate,2023-04-22
CUST00755,Nikhil Gupta,Female,25,Nagpur,Maharashtra,Consumer,2024-10-28
CUST00758,Amit Chauhan,Female,49,Ahmedabad,Gujarat,Consumer,2022-01-17
CUST00759,Vivaan Patel,Male,28,Jaipur,Rajasthan,Corporate,2023-01-15
CUST00770,Meera Gupta,Male,39,Ahmedabad,Gujarat,Consumer,2025-02-09
CUST00771,Riya Kumar,Male,18,Chennai,Tamil Nadu,Consumer,2023-10-14
CUST00772,Kunal Mehta,Female,34,Guwahati,Assam,Consumer,2022-04-06
CUST00773,Priya Mishra,Male,53,Lucknow,Uttar Pradesh,Corporate,2025-02-04
CUST00775,Sneha Kapoor,Female,34,Kolkata,West Bengal,Corporate,2024-04-04
CUST00777,Neha Chauhan,Male,22,Surat,Gujarat,Corporate,2022-11-23
CUST00781,Aditi Gupta,Male,54,Bhubaneswar,Odisha,Corporate,2022-12-18
CUST00782,Vikram Kapoor,Female,35,Chennai,Tamil Nadu,Consumer,2023-04-07
CUST00783,Vikram Patel,Female,44,Jaipur,Rajasthan,Corporate,2025-01-29
CUST00785,Kunal Mishra,Female,23,Indore,Madhya Pradesh,Consumer,2022-12-20
CUST00787,Nikhil Saxena,Female,43,Lucknow,Uttar Pradesh,Corporate,2023-07-27
CUST00791,Kunal Verma,Male,19,Jaipur,Rajasthan,Consumer,2023-07-23
CUST00794,Kunal Sharma,Female,29,Kolkata,West Bengal,Consumer,2022-07-18
CUST00800,Aditi Yadav,Male,35,Surat,Gujarat,Consumer,2023-11-01
CUST00802,Aditi Singh,Male,28,Mumbai,Maharashtra,Corporate,2022-08-24
CUST00803,Rahul Verma,Female,22,Bhopal,Madhya Pradesh,Consumer,2022-05-25
CUST00804,Arjun Jain,Male,32,Patna,Bihar,Corporate,2022-09-16
CUST00807,Rahul Agarwal,Male,51,Bhopal,Madhya Pradesh,Corporate,2022-03-28
CUST00808,Kavya Chauhan,Female,38,Jaipur,Rajasthan,Corporate,2025-04-03
CUST00810,Nikhil Saxena,Male,50,Guwahati,Assam,Corporate,2022-05-16
CUST00811,Vivaan Singh,Male,26,Lucknow,Uttar Pradesh,Small Business,2025-03-03
CUST00814,Amit Shah,Male,44,Mumbai,,Corporate,2023-05-17
CUST00820,Riya Kapoor,Female,40,Guwahati,Assam,Consumer,2023-02-10
CUST00829,Arjun Singh,Male,25,Kolkata,West Bengal,Consumer,2024-08-31
CUST00831,Nikhil Chauhan,Male,49,Dehradun,Uttarakhand,Corporate,2023-09-10
CUST00835,Pooja Joshi,Male,28,Kolkata,West Bengal,Corporate,2023-09-21
CUST00836,Arjun Patel,Female,36,Coimbatore,Tamil Nadu,Corporate,2025-01-08
CUST00838,Neha Singh,Male,18,Ludhiana,Punjab,Small Business,2025-03-01
CUST00839,Aditya Verma,Male,41,Lucknow,Uttar Pradesh,Corporate,2022-09-22
CUST00842,Kavya Kumar,Other,36,Chennai,Tamil Nadu,Consumer,2023-06-24
CUST00852,Riya Jain,Other,47,Coimbatore,Tamil Nadu,Small Business,2023-10-28
CUST00854,Vikram Malhotra,Female,55,Dehradun,Uttarakhand,Corporate,2022-06-05
CUST00861,Kavya Mehta,Male,61,Guwahati,Assam,Small Business,2024-03-12
CUST00862,Arjun Jain,Female,55,Patna,Bihar,Consumer,2024-05-09
CUST00863,Sneha Patel,Female,52,Jaipur,Rajasthan,Corporate,2023-04-25
CUST00873,Rohan Gupta,Female,37,Jaipur,Rajasthan,Consumer,2024-06-15
CUST00875,Vikram Srivastava,Male,40,Hyderabad,Telangana,Consumer,2023-05-14
CUST00881,Aarav Saxena,Female,47,Delhi,Delhi,Consumer,2023-03-11
CUST00886,Arjun Saxena,Female,28,Kochi,Kerala,Consumer,2023-01-27
CUST00890,Sneha Patel,Female,18,Dehradun,Uttarakhand,Consumer,2025-02-17
CUST00891,Vikram Agarwal,Male,45,Jaipur,Rajasthan,Consumer,2024-11-24
CUST00893,Meera Joshi,Male,26,Bhopal,Madhya Pradesh,Consumer,2024-12-02
CUST00895,Meera Agarwal,Male,31,Kochi,Kerala,Consumer,2022-03-11
CUST00897,Aditya Jain,Female,22,Bhopal,Madhya Pradesh,Small Business,2023-08-14
CUST00899,Pooja Gupta,Male,47,Delhi,Delhi,Consumer,2023-07-27
CUST00902,Vikram Chauhan,Male,49,Lucknow,Uttar Pradesh,Corporate,2024-01-25
CUST00906,Priya Verma,Female,36,Hyderabad,Telangana,Small Business,2025-01-18
CUST00907,Rohan Joshi,Female,63,Surat,Gujarat,Small Business,2023-05-24
CUST00908,Aarav Yadav,Male,43,Chandigarh,Chandigarh,Consumer,2024-08-29
CUST00909,Ananya Singh,Male,33,Ahmedabad,Gujarat,Consumer,2024-05-17
CUST00910,Aditya Srivastava,Male,42,Jaipur,Rajasthan,Consumer,2022-06-05
CUST00911,Aarav Sharma,Male,37,Kochi,Kerala,Corporate,2024-10-13
CUST00914,Kavya Yadav,Male,30,Guwahati,Assam,Consumer,2024-08-05
CUST00915,Rahul Verma,Male,37,Bengaluru,Karnataka,Consumer,2025-01-26
CUST00917,Aditya Mehta,Female,18,Bhopal,Madhya Pradesh,Corporate,2022-03-15
CUST00921,Arjun Saxena,Male,27,Bhubaneswar,Odisha,Consumer,2023-11-18
CUST00934,Aarav Kapoor,Male,18,Chennai,Tamil Nadu,Corporate,2022-08-26
CUST00939,Aditya Singh,Male,37,Indore,Madhya Pradesh,Small Business,2025-02-16
CUST00943,Aditi Verma,Female,42,Patna,Bihar,Corporate,2024-05-25
CUST00953,Kunal Kapoor,Female,28,Bengaluru,Karnataka,Consumer,2024-12-19
CUST00958,Aarav Mishra,Female,30,Bengaluru,Karnataka,Consumer,2022-01-21
CUST00960,Amit Singh,Female,25,Surat,Gujarat,Consumer,2024-11-06
CUST00964,Meera Joshi,Male,36,Ludhiana,Punjab,Small Business,2024-09-28
CUST00969,Kunal Srivastava,Female,25,Patna,Bihar,Consumer,2024-07-12
CUST00971,Amit Yadav,Male,57,Mumbai,Maharashtra,Consumer,2024-06-30
CUST00973,Aditya Yadav,Male,18,Indore,Madhya Pradesh,Consumer,2024-01-08
CUST00974,Vivaan Patel,Male,43,Indore,Madhya Pradesh,Consumer,2023-11-08
CUST00978,Neha Saxena,Male,40,Nagpur,Maharashtra,Consumer,2022-11-21
CUST00979,Amit Joshi,Male,49,Pune,Maharashtra,Consumer,2024-10-11
CUST00981,Aditya Saxena,Female,39,Nagpur,Maharashtra,Consumer,2022-03-14
CUST00982,Neha Chauhan,Male,25,Hyderabad,Telangana,Small Business,2025-01-14
CUST00983,Priya Gupta,Male,38,Nagpur,Maharashtra,Consumer,2023-04-21
CUST00986,Isha Chauhan,Female,20,Chennai,Tamil Nadu,Corporate,2024-04-21
CUST00987,Amit Yadav,Female,46,Bengaluru,Karnataka,Corporate,2025-01-15
CUST00989,Meera Srivastava,Male,48,Dehradun,Uttarakhand,Consumer,2022-12-20
CUST00991,Vikram Yadav,Male,36,Pune,Maharashtra,Consumer,2024-09-24
CUST00994,Isha Shah,Male,18,Surat,Gujarat,Consumer,2022-10-02
CUST01010,Sneha Patel,Female,30,Bhopal,Madhya Pradesh,Small Business,2022-10-04
CUST01015,Amit Yadav,Male,28,Bhopal,Madhya Pradesh,Consumer,2023-11-24
CUST01016,Pooja Verma,Female,32,Kolkata,West Bengal,Consumer,2023-09-08
CUST01025,Amit Patel,Male,30,Kolkata,West Bengal,Consumer,2024-06-22
CUST01031,Isha Sharma,Female,20,Indore,Madhya Pradesh,Consumer,2024-12-29
CUST01036,Aditya Gupta,Male,34,Kochi,Kerala,Small Business,2024-06-06
CUST01038,Aditya Patel,Female,34,Lucknow,Uttar Pradesh,Corporate,2024-03-22
CUST01040,Sneha Agarwal,Male,41,Kolkata,West Bengal,Corporate,2023-01-11
CUST01041,Amit Yadav,Male,43,Hyderabad,Telangana,Consumer,2024-09-15
CUST01044,Pooja Kapoor,Male,42,Ahmedabad,Gujarat,Small Business,2024-07-25
CUST01055,Neha Yadav,Male,56,Delhi,Delhi,Corporate,2023-04-17
CUST01059,Meera Kapoor,Male,31,Surat,Gujarat,Consumer,2024-09-01
CUST01063,Kunal Gupta,Female,31,Chandigarh,Chandigarh,Consumer,2024-11-28
CUST01067,Arjun Joshi,Male,40,Patna,Bihar,Consumer,2023-02-26
CUST01072,Amit Jain,Male,56,Ludhiana,Punjab,Consumer,2023-11-27
CUST01073,Aarav Verma,Male,28,Kochi,Kerala,Corporate,2022-04-29
CUST01082,Rohan Kapoor,Female,31,Guwahati,Assam,Consumer,2022-10-25
CUST01083,Amit Yadav,Female,39,Guwahati,Assam,Corporate,2023-02-26
CUST01085,Aditya Verma,Female,22,Ludhiana,Punjab,Consumer,2022-01-16
CUST01094,Priya Joshi,Female,18,Ahmedabad,Gujarat,Consumer,2024-03-13
CUST01096,Ananya Jain,Male,18,Delhi,Delhi,Consumer,2024-02-21
CUST01097,Meera Singh,Female,49,Kolkata,West Bengal,Consumer,2024-12-26
CUST01099,Sneha Chauhan,Female,24,Lucknow,Uttar Pradesh,Consumer,2022-03-09
CUST01101,Neha Joshi,Female,48,Indore,Madhya Pradesh,Consumer,2023-05-04
CUST01114,Kavya Kapoor,Female,46,Mumbai,Maharashtra,Corporate,2023-08-29
CUST01118,Kavya Gupta,Male,19,Nagpur,Maharashtra,Consumer,2022-01-07
CUST01119,Rahul Saxena,Female,27,Hyderabad,Telangana,Consumer,2024-11-05
CUST01120,Ananya Kumar,Female,32,Indore,Madhya Pradesh,Consumer,2022-06-28
CUST01126,Rahul Gupta,Female,27,Kolkata,West Bengal,Consumer,2023-07-29
CUST01131,Vivaan Shah,Male,27,Ahmedabad,Gujarat,Consumer,2024-07-19
CUST01136,Ananya Agarwal,Male,18,Delhi,Delhi,Small Business,2023-06-03
CUST01139,Neha Patel,Male,41,Kochi,Kerala,Consumer,2023-10-26
CUST01142,Amit Saxena,Female,150,Pune,Maharashtra,Consumer,2025-04-13
CUST01146,Arjun Agarwal,Female,23,Indore,Madhya Pradesh,Consumer,2022-03-27
CUST01151,Priya Yadav,Male,21,Ahmedabad,Gujarat,Consumer,2022-08-19
CUST01153,Kunal Kapoor,Female,32,Surat,Gujarat,Consumer,2024-02-13
CUST01155,Neha Chauhan,Female,18,Mumbai,Maharashtra,Corporate,2024-09-26
CUST01156,Pooja Patel,Other,38,Nagpur,Maharashtra,Consumer,2022-11-05
CUST01158,Riya Gupta,Male,22,Kolkata,West Bengal,Consumer,2023-05-28
CUST01165,Aarav Kapoor,Male,46,Bhopal,Madhya Pradesh,Consumer,2024-09-09
CUST01168,Pooja Sharma,Female,61,Ahmedabad,Gujarat,Corporate,2022-05-09
CUST01174,Aditya Sharma,Female,36,Chandigarh,Chandigarh,Small Business,2022-04-19
CUST01180,Aditi Mehta,Female,26,Lucknow,Uttar Pradesh,Consumer,2022-06-09
CUST01182,Vivaan Joshi,Female,31,Patna,Bihar,Consumer,2022-12-08
CUST01184,Aditya Srivastava,Male,51,Surat,Gujarat,Consumer,2024-11-05
